classifier,target,exclude_E_R,feature,Value,English,Cor
Random Forests,RESP_High_Graduation,N,r_IEP,0.058,,
Random Forests,RESP_High_Graduation,N,r_stud_re_F,0.057,,
Random Forests,RESP_High_Graduation,N,tcurbenefits_pp,0.056,,
Random Forests,RESP_High_Graduation,N,tcurelsc_pp,0.047,,
Random Forests,RESP_High_Graduation,N,r_stud_re_M,0.046,,
Random Forests,RESP_High_Graduation,N,r_stud_re_H,0.044,,
Random Forests,RESP_High_Graduation,N,tcapout_pp,0.043,,
Decision Tree,RESP_High_Graduation,Y,r_stud_re_AAP,0.075,,
Decision Tree,RESP_High_Graduation,Y,r_stud_re_W,0.063,,
Decision Tree,RESP_High_Graduation,Y,tcurinst_pp,0.058,,
Decision Tree,RESP_High_Graduation,Y,r_IEP,0.058,,
Decision Tree,RESP_High_Graduation,Y,r_stud_re_F,0.057,,
Decision Tree,RESP_High_Graduation,Y,tcurbenefits_pp,0.056,,
Decision Tree,RESP_High_Graduation,Y,tcurelsc_pp,0.047,,
Decision Tree,RESP_High_Graduation,Y,r_stud_re_M,0.046,,
Decision Tree,RESP_High_Graduation,Y,r_stud_re_H,0.044,,
Decision Tree,RESP_High_Graduation,Y,tcapout_pp,0.043,,
Random Forests,RESP_High_Graduation,Y,r_stud_re_B,0.15,,
Random Forests,RESP_High_Graduation,Y,r_stud_re_AAP,0.13,,
Random Forests,RESP_High_Graduation,Y,r_IEP,0.085,,
Random Forests,RESP_High_Graduation,Y,tcurelsc_pp,0.067,,
Random Forests,RESP_High_Graduation,Y,r_stud_re_M,0.065,,
Random Forests,RESP_High_Graduation,Y,pupil_teacher_ratio_dist,0.063,,
Random Forests,RESP_High_Graduation,Y,r_ELL,0.062,,
Random Forests,RESP_High_Graduation,Y,r_stud_re_H,0.045,,
Random Forests,RESP_High_Graduation,Y,r_stud_re_W,0.042,,
Random Forests,RESP_High_Graduation,Y,tcussv_pp,0.038,,
Decision Tree,RESP_Low_Graduation,N,r_stud_re_B,0.47,,
Decision Tree,RESP_Low_Graduation,N,r_stud_re_W,0.15,,
Decision Tree,RESP_Low_Graduation,N,r_stud_re_AAP,0.07,,
Decision Tree,RESP_Low_Graduation,N,pupil_teacher_ratio_dist,0.035,,
Decision Tree,RESP_Low_Graduation,N,r_ELL,0.032,,
Decision Tree,RESP_Low_Graduation,N,r_stud_re_M,0.03,,
Decision Tree,RESP_Low_Graduation,N,totalrev_pp,0.028,,
Decision Tree,RESP_Low_Graduation,N,tcursalary_pp,0.025,,
Decision Tree,RESP_Low_Graduation,N,r_IEP,0.02,,
Decision Tree,RESP_Low_Graduation,N,tcurbenefits_pp,0.018,,
Random Forests,RESP_Low_Graduation,N,r_stud_re_B,0.16,,
Random Forests,RESP_Low_Graduation,N,r_stud_ew_W,0.14,,
Random Forests,RESP_Low_Graduation,N,r_stud_re_H,0.044,,
Random Forests,RESP_Low_Graduation,N,pupil_teacher_ratio_dist,0.042,,
Random Forests,RESP_Low_Graduation,N,r_stud_re_AIAN,0.041,,
Random Forests,RESP_Low_Graduation,N,tcurssv_pp,0.04,,
Random Forests,RESP_Low_Graduation,N,tcurinst_pp,0.039,,
Random Forests,RESP_Low_Graduation,N,r_IEP,0.039,,
Random Forests,RESP_Low_Graduation,N,r_stud_re_AAP,0.0385,,
Random Forests,RESP_Low_Graduation,N,totalrev_pp,0.038,,
Decision Tree,RESP_Low_Graduation,Y,r_stud_re_B,0.16,,
Decision Tree,RESP_Low_Graduation,Y,r_stud_ew_W,0.14,,
Decision Tree,RESP_Low_Graduation,Y,r_stud_re_H,0.044,,
Decision Tree,RESP_Low_Graduation,Y,pupil_teacher_ratio_dist,0.042,,
Decision Tree,RESP_Low_Graduation,Y,r_stud_re_AIAN,0.041,,
Decision Tree,RESP_Low_Graduation,Y,tcurssv_pp,0.04,,
Decision Tree,RESP_Low_Graduation,Y,tcurinst_pp,0.039,,
Decision Tree,RESP_Low_Graduation,Y,r_IEP,0.039,,
Decision Tree,RESP_Low_Graduation,Y,r_stud_re_AAP,0.0385,,
Decision Tree,RESP_Low_Graduation,Y,totalrev_pp,0.038,,
Random Forests,RESP_Low_Graduation,Y,r_stud_re_B,0.47,,
Random Forests,RESP_Low_Graduation,Y,r_stud_re_W,0.15,,
Random Forests,RESP_Low_Graduation,Y,r_stud_re_AAP,0.07,,
Random Forests,RESP_Low_Graduation,Y,pupil_teacher_ratio_dist,0.035,,
Random Forests,RESP_Low_Graduation,Y,r_ELL,0.032,,
Random Forests,RESP_Low_Graduation,Y,r_stud_re_M,0.03,,
Random Forests,RESP_Low_Graduation,Y,totalrev_pp,0.028,,
Random Forests,RESP_Low_Graduation,Y,tcursalary_pp,0.025,,
Random Forests,RESP_Low_Graduation,Y,r_IEP,0.02,,
Random Forests,RESP_Low_Graduation,Y,tcurbenefits_pp,0.018,,
